clip_id|text|normalized_text
GEN_002_001|Kẹnẹ a ma odjuvwu vẹ akpọ kugbe obo re vọnrọ ejobi wan.|Kẹnẹ a ma odjuvwu vẹ akpọ kugbe obo re vọnrọ ejobi wan.
GEN_002_006|ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -|ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
GEN_002_007|kọye Ọrovwohwo Ọghẹnẹ da vwẹ ekpẹn rẹ otọ na vwọ ma ohwo, ọ da wẹn ẹwẹn rẹ arhọ na phihọ iwen rọye, ohwo de hirhe ohwo ọkpokpọ.|kọye Ọrovwohwo Ọghẹnẹ da vwẹ ekpẹn rẹ otọ na vwọ ma ohwo, ọ da wẹn ẹwẹn rẹ arhọ na phihọ iwen rọye, ohwo de hirhe ohwo ọkpokpọ.
GEN_002_010|Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹne.|Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹne.
GEN_002_011|Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;|Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;
GEN_002_012|oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.|oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.
GEN_002_013|Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush.|Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush.
GEN_002_014|Odẹ rẹ urhie rerha ki Tigris, rọ djẹ nene obọrhe rẹ Asira. Urhie rẹne ki Yufretis.|Odẹ rẹ urhie rerha ki Tigris, rọ djẹ nene obọrhe rẹ Asira. Urhie rẹne ki Yufretis.
GEN_002_015|Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.|Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
GEN_002_016|Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;|Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;
GEN_002_018|Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọshare ọvo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ.|Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọshare ọvo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ.
GEN_002_019|Kọye vwẹ evun rẹ otọ na re, Ọrovwohwo Ọghẹnẹ da ma eranvwe keranvwe rẹ aghwa na kugbe ọphran kọphran rẹ enu na, ọ da ghwẹ ayen vwọ kẹ ohwo na sọsa mrẹ obo ro se ayen; obo rẹ ohwo na se eranvwe keranvwe ekpokpọ na, kẹ odẹ yena ese.|Kọye vwẹ evun rẹ otọ na re, Ọrovwohwo Ọghẹnẹ da ma eranvwe keranvwe rẹ aghwa na kugbe ọphran kọphran rẹ enu na, ọ da ghwẹ ayen vwọ kẹ ohwo na sọsa mrẹ obo ro se ayen; obo rẹ ohwo na se eranvwe keranvwe ekpokpọ na, kẹ odẹ yena ese.
